juv_other_count,c_charge_degree,race,juv_misd_count,sex,juv_fel_count,priors_count,age,expert prediction,machine prediction,ground truth,proba_model,did_recid,provider
0.0,0.6,0.8,0.0,0.0,0.0,0.0344827586206896,0.0909090909090909,0,0,0,0.7808208505983029,0,H
0.0,0.2,1.0,0.0,0.0,0.0,0.0689655172413793,0.1558441558441558,0,0,0,0.7999967313774137,0,H
0.0,0.2,0.8,0.0,0.0,0.0,0.0344827586206896,0.0909090909090909,0,0,1,0.6494781062189103,0,H
0.0,0.6,0.4,0.0,1.0,0.0,0.0344827586206896,0.1038961038961039,1,0,1,0.8118009259276043,0,M
0.0,0.4,1.0,0.0,1.0,0.0,0.0,0.0519480519480519,1,0,1,0.5813669357345878,1,H
0.0,0.2,0.6,0.0,1.0,0.0,0.2413793103448276,0.1168831168831168,0,1,0,0.5057200441564342,0,H
0.0,0.6,0.8,0.0,0.0,0.0,0.1379310344827586,0.3766233766233766,0,0,0,0.6782107434373769,0,H
0.0,0.6,0.4,0.0,1.0,0.0,0.0689655172413793,0.4285714285714285,0,0,0,0.8654974775291443,0,H
0.0,0.4,1.0,0.0,1.0,0.0,0.2758620689655172,0.1558441558441558,0,1,1,0.6818620661289336,1,H
0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.2337662337662337,0,0,0,0.8647072655283025,0,H
0.0,0.6,0.4,0.0,1.0,0.0,0.0,0.0779220779220779,0,0,0,0.8536418121940609,0,H
0.0,1.0,0.6,0.0,1.0,0.0,0.0,0.3896103896103896,0,0,0,0.8395848817785764,0,H
0.0,0.4,1.0,0.0,1.0,0.0,0.0,0.0649350649350649,1,0,1,0.5501728659530355,1,H
0.0,0.6,1.0,0.0,1.0,0.0,0.2758620689655172,0.2337662337662337,1,1,1,0.5784990821558832,1,H
0.0,0.8,1.0,0.0,1.0,0.0,0.3793103448275862,0.1038961038961039,1,1,1,0.6300346661335542,1,H
0.0,0.8,1.0,0.0,1.0,0.0,0.1379310344827586,0.0259740259740259,0,1,0,0.5199278929067652,0,H
0.0,0.8,1.0,0.0,1.0,0.0,0.0,0.0389610389610389,1,0,1,0.5388167885264634,1,H
0.0,0.4,0.8,0.0,1.0,0.0,0.0689655172413793,0.1948051948051948,0,0,0,0.7333160236742309,0,H
0.0,0.8,1.0,0.0,1.0,0.0,0.0344827586206896,0.0389610389610389,1,1,1,0.5097519472069258,1,H
0.0,0.6,1.0,0.0,1.0,0.4,0.6896551724137931,0.1428571428571428,1,1,1,0.7054135900841974,1,H
0.0,0.6,0.8,0.0,0.0,0.0,0.0,0.2597402597402597,1,0,1,0.8062824113314797,1,H
0.0,0.4,0.8,0.0,1.0,0.0,0.4827586206896552,0.4545454545454545,1,1,1,0.5320179635708284,1,H
0.0,0.6,0.8,0.0,1.0,0.0,0.0,0.2597402597402597,0,0,0,0.6804769996709303,0,H
0.1428571428571428,0.6,1.0,0.0,1.0,0.0,0.0689655172413793,0.1168831168831168,1,0,1,0.5362768129335501,1,H
0.1428571428571428,0.6,1.0,0.0,1.0,0.0,0.6551724137931034,0.3636363636363636,1,1,1,0.7574166886540057,1,H
0.1428571428571428,0.6,1.0,0.0833333333333333,1.0,0.0,0.1379310344827586,0.0129870129870129,1,1,1,0.5364057601114935,1,H
0.0,0.6,0.4,0.0,1.0,0.0,0.1034482758620689,0.0779220779220779,0,0,0,0.6026553946492104,0,H
0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.1168831168831168,0,0,0,0.6642958382537769,0,H
0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0129870129870129,0,0,0,0.6894752447745701,0,H
